"priority","name","platform","type","status_on_2026_05_14","deadline_or_window","eligibility","8gb_fit","recommendation","why","source"
"P1","Flu Shot Learning","DrivenData","表格分类练习","练习赛","调研日显示约 1 year left","开放参赛","A","轻量算法练习","表格分类，不依赖大 GPU","https://www.drivendata.org/competitions/search/"
"P1","DengAI: Predicting Disease Spread","DrivenData","时序/环境数据预测","练习赛","调研日显示约 1 year left","开放参赛","A","时序方向练习","环境数据 + 周级预测，适合时序 baseline","https://www.drivendata.org/competitions/search/"
"P1","Pump it Up: Data Mining the Water Table","DrivenData","表格分类练习","练习赛","调研日显示约 1 year left","开放参赛","A","表格 ML 练习","适合特征工程和传统 ML","https://www.drivendata.org/competitions/search/"
"P2","BirdCLEF+ 2026","Kaggle Research","音频识别","进行中","调研日显示 21 days to go","开放参赛","C","不主攻但可学习","音频深度学习需要更多算力和经验，可用平台 Notebook 做 baseline","https://www.kaggle.com/competitions/birdclef-2026"
"P2","NVIDIA Nemotron Model Reasoning Challenge","Kaggle Featured","推理/大模型研究","进行中","调研日显示约 1 month to go","开放参赛","C/D","谨慎参与","更偏模型推理技术，可能需要较强算力或开放模型经验","https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge"
"P2","ARC Prize 2026 - ARC-AGI","Kaggle Featured","通用推理研究赛","进行中","调研日显示约 6 months to go","开放参赛","C/D","学习复盘优先","奖金高但研究门槛极高，不适合作为第一主线","https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-3"
"P2","CAFA 6 Protein Function Prediction","Kaggle Research","蛋白功能预测","进行中","调研日显示 19 days to go","开放参赛","C/D","不主攻","领域知识和算力/数据处理要求较高","https://www.kaggle.com/competitions/cafa-6-protein-function-prediction"
"P2","DataFountain 竞赛平台","DataFountain","国内数据科学/AI平台","需持续监控","滚动更新","未知","A-D","作为国内赛源池","平台含应用包、算法、大模型、时序、数据分析等类型；具体赛题需逐个看算力与资格","https://www.datafountain.cn/competitions"
"P2","天池竞赛平台","阿里云天池","国内 AI/数据竞赛平台","需持续监控","滚动更新","未知","A-D","作为国内赛源池","官方显示 600+ 专业赛事、100万+开发者、4000+数据集；适合长期跟踪","https://tianchi.aliyun.com/"
"P2","2026 iFLYTEK AI开发者大赛","科大讯飞","国内 AI 应用/算法平台","赛题滚动","2026 年赛季","未知","B/C","重点跟踪","官方介绍覆盖语音、多模交互、办公娱乐、大模型能力和创新应用类挑战；适合应用赛筛选","https://challenge.xfyun.cn/"
"P2","“华为云杯”2026人工智能OPC应用创新大赛","华为云/苏州国际科技园","AI 应用创新赛","已启动","2026-04-23 启动","未知","B","跟踪报名细则","新闻显示使用华为云码道 CodeArts 代码智能体支持业务应用开发；偏应用落地","https://www.sipac.gov.cn/kjhxxhj/toutiao/202604/11778853d99946329b3edbe6f0d905b1.shtml"
"P2","百度商业AI技术创新大赛 CTI","百度","商业 AI 技术/夏令营","2026 升级为邀请制","2026 年赛季","邀请制","C","关注但不作为主线","官方显示 2026 为极客夏令营邀请制，题材涉及广告生成、超长行为序列等商业 AI","https://cti.baidu.com/"
"P2","CCF BDCI 2025/2026 跟踪","中国计算机学会/DataFountain","大数据与计算智能赛事","2026 赛季未见公开报名；2025 已结束","通常每年 9-12 月","未知","A-D","作为秋季重点赛源","BDCI 是大数据与人工智能领域算法、应用、系统大型挑战赛，2025 赛题含多智能体、数学推理、图算法等","https://www.xir.cn/races/BDCI2025"
"P2","AIcrowd Challenges","AIcrowd","国际算法/强化学习/视觉平台","需持续监控","滚动更新","开放参赛","C/D","按赛题筛选","平台分类覆盖 supervised learning、NLP、CV、RL 等；许多赛题偏研究","https://www.aicrowd.com/challenges"
"P2","Zindi Challenges","Zindi","国际 AI 应用/算法平台","需持续监控","滚动更新","开放参赛","A-C","补充赛源","常见社会影响、健康、农业、NLP、CV 赛题，需逐个确认地区资格","https://zindi.africa/competitions"
"P2","ECMWF Code for Earth 2026","ECMWF","气象/气候开源创新项目","2026 申请已截止","申请截止 2026-04-09","未知","B/C","复盘并跟踪下一届","挑战流包括数据可视化、机器学习、软件开发和非洲方向，适合气象应用型项目","https://www.ecmwf.int/en/about/media-centre/news/2026/code-for-earth-2026-call"
"P2","ECMWF AI Weather Quest","ECMWF","气象机器学习预测竞赛","进行中/研讨披露","2026 年持续进展","未知","C/D","气象方向学习参考","面向次季节温度、海平面气压和降水概率预报，偏专业气象和部署型预测系统","https://events.ecmwf.int/event/549/"
"P2","GeoAI Challenge 2026","ITU AI for Good","地理空间 AI 应用赛","2026 第五届","2026 年赛季","未知","B/C","气象/遥感/地理方向跟踪","面向真实地理空间问题，通常适合遥感、地理信息和应用方案结合","https://aiforgood.itu.int/about-us/geoai-challenge/"
"P2","第二届人工智能气象预报模型示范计划","中国气象局/WMO 新闻","气象 AI 模型示范","2026-04-29 发布","2026 年示范计划","未知","D","不主攻但跟踪","方向含临近预报、短中期预报、次季节预测；更像专业模型示范比对，个人 8GB 环境不适合作为主线","https://wmo.int/media/news-from-members/2nd-ai-meteorological-forecasting-model-demonstration-program-of-cma-launched"
"P2","2026 AI and Space Computing Challenge","ITU/Zhejiang Lab","遥感/空间计算 AI","本轮报名已截止","报名截止 2026-01-30","未知","C/D","复盘赛题","赛道含作物分类与产量估计、水质、城市热岛，适合多模态遥感与环境方向学习","https://aiforgood.itu.int/launching-the-itu-ai-and-space-computing-challenge-innovating-for-a-more-intelligent-planet/"
"P2","IEEE AICAS 2026 Grand Challenge VLM高效推理与优化赛道","IEEE AICAS/天池镜像","多模态大模型推理优化","进行中","2026 年赛季","未知","D","不主攻","面向 AI 芯片的 VLM 高效部署，涉及图文多模态、低延迟和软硬协同优化，8GB Windows 不适合作为主线","https://www.competehub.dev/zh/competitions/tianchi532450"
"P2","多模态感知融合增强的具身自主抓取任务挑战","DataFountain","多模态/具身智能","进行中","调研日显示约 2 个月后截止","未知","D","不主攻但可学习","需要多源多模态传感、识别抓取放置和 Docker 验证，偏机器人/具身，算力与硬件门槛高","https://www.competehub.dev/zh/competitions/datafountain1163"
"P2","第二届综合交通运输大模型智能体创新应用大赛","交通运输部相关报道","交通行业 Agent 应用赛","已启幕","2026-03-23 报道","未知","B","重点跟踪","设开放创新与特色场景应用赛题，鼓励自主定义智能体和多智能体协作方案，应用方向高度匹配","https://www.mot.gov.cn/xinwen/jiaotongyaowen/202603/t20260323_4202313.html"
"P3","DataFountain 大模型微调/推理优化与 AI 芯片类赛题","DataFountain","重算力/专用硬件赛","多为历史或需平台硬件","视具体赛题","未知","D","不主攻","通常需要 Gaudi/AI 芯片/大模型优化环境，不适合 8GB 本地","https://www.datafountain.cn/competitions"
"REF","Zero to Agent","Vercel","AI Agent Hackathon","已结束","2026-04-24 to 2026-05-04","未知","B","参考作品和赛道设计","已结束但有 winners/submissions，可学习 agent 产品形态","https://community.vercel.com/hackathons/zero-to-agent"
